,0,1,2,3,4,5,6,7
20,254,Sicherheit für alle,Hotel Kreuz 3011 Bern,Mo 19.02.2007 10:30,Medienkonferenz,NR Ulrich Schlüer,Sifa,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-254.html
21,256,Wie weiter in der Asylpolitik?,Medienzentrum 3003 Bern,Fr 02.02.2007 10:30 - 12:00,Medienkonferenz mit Bundesrat Blocher,"Sascha Hardegger, Presseprecher EJPD, Tel. 031 322 40 40",Eidgenössisches Justiz- und Polizeidepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-256.html
22,260,ReformWorks,Kursaal 3011 Bern,Mo 19.02.2007 12:00 - 18:00,Forschende der Ökonomie präsentieren Fallstudien zu wirtschaftspolitischen Reformen in acht Sektoren in Europa. Fachtagung in Englisch (ohne Übersetzung),Staatssekretariat für Wirtschaft SECO; Direktion für Wirtschaftspolitik; Tel. 031 322 42 27,Staatssekretariat für Wirtschaft,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-260.html
23,262,Kulturpolitik,"Progr, Zentrum für Kulturproduktion, Speichergasse 4 3011 Bern",Di 27.02.2007 10:00 - 11:00,Medienkonferenz,"Gabriela Bader, Grüne/Les Verts, Tel 031 312 66 72",Grüne/Les Verts,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-262.html
24,263,Positionspapier Kulturpolitik,Medienzentrum 3003 Bern,Mo 19.02.2007 13:30 - 14:30,Medienkonferenz,"Jean-Yves Gentil, porte-parole PSS, Tel. 031 329 69 86",SPS/PSS,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-263.html
25,264,Umweltbericht der Schweiz 2007,Medienzentrum Bern,Fr 01.06.2007 10:00 - 11:00,Medienkonferenz,"Adrian Aeschlimann, Leiter Mediendienst BAFU, Tel. 031 325 07 50; Silvia Kubli, Kommunikationschefin BFS, Tel. 032 713 61 29",Bundesamt für Umwelt (BAFU) / Bundesamt für Statistik (BFS),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-264.html
26,265,Jahresbericht,Medienzentrum 3003 Bern,Di 17.04.2007 10:00 - 11:00,Medienkonferenz; Publikation Jahresbericht Meldestelle für Geldwäscherei,"Danièle Bersier, Chefin Mediendienst fedpol, Tel. 031 323 13 10",Bundesamt für Polizei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-265.html
27,266,Aufsichtsbericht Nukleare Sicherheit,Medienzentrum 3003 Bern,Di 24.04.2007 10:00 - 11:00,Medienkonferenz,"Herr Treier, Tel. 056 310 38 70",Hauptabteilung für die Sicherheit der Kernanlagen (HSK),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-266.html
28,272,Von-Wattenwyl-Gespräche,Medienzentrum 3003 Bern,Fr 25.05.2007,Medienkonferenz,"Hansruedi Moser, Leiter Information und Kommunikation BK, Tel. 031 322 37 63",Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-272.html
29,277,40 Jahre Standort Wabern,"METAS, Lindenweg 50 3084 Bern-Wabern",Do 14.06.2007 10:15 - 13:00,Medienkonferenz,"Christian Antener, Leiter Kommunikation METAS, Tel. 031 323 34 89",Eidgenössisches Institut für Metrologie,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-277.html
30,279,14. Tätigkeitsbericht,Medienzentrum 3003 Bern,Mo 02.07.2007 10:00 - 11:30,Medienkonferenz,"EDÖB, Tel. 031 322 43 95",Eidgenössischer Datenschutz- und Öffentlichkeitsbeauftragter,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-279.html
31,285,10 Jahre UN-Kinderrechts-Konvention in der Schweiz,"PROGR Zentrum für Kulturproduktion, Waisenhausplatz 30; / Bundesplatz 3011 Bern",Mo 26.03.2007 10:00 - 12:30,10.00 Uhr Mediengespräch im PROGR Zentrum für Kulturproduktion; 11.15 Uhr Kinderevent auf dem Bundesplatz,"Thomas Graf, tom+kom, Zürich-Thalwil, Tel. 043 443 56 30; thomas.graf@tomundkom.ch",Netzwerk Kinderrechte Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-285.html
32,292,Energiepolitik ist Klimapolitik,Medienzentrum Bern,Fr 23.02.2007 13:30,Medienkonferenz,"Claudine Godat, Mediensprecherin SP, 031 329 69 82",SPS,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-292.html
33,293,Cassis-de-Dijon-Prinzip: Bericht aus Deutschland,Hotel Bern 3011 Bern,Mo 05.03.2007 09:00 - 10:00,Medienkonferenz,"Andreas Tschöpe, Stiftung für Konsumentenschutz, Tel. 031 370 24 26",Stiftung für Konsumentenschutz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-293.html
34,294,Welttag der Konsumentenrechte,Medienzentrum 3003 Bern,Do 15.03.2007 10:00 - 11:30,Medienkonferenz,"Büro für Konsumentenfragen BFK, Tel. 031 322 20 21; Bureau fédéral de la consommation, tél. 031 322 20 21",Eidgenössisches Büro für Konsumentenfragen,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-294.html
35,295,EU-Befürworter tragen die Verantwortung,Medienzentrum 3003 Bern,Di 27.02.2007 13:30 - 14:30,Medienkoferenz,"SVP Generalsekretariat, 031 300 58 52",SVP-Fraktion,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-295.html
36,297,Massnahmen zur Energieeffizienz,Bernerhof 3003 Bern,Sa 24.02.2007 10:15,Point de presse; Positionen der CVP Fraktion zur Energiepolitik,"Alexandra Perina-Werz, CVP Schweiz, Mobile 078 659 29 89",CVP Fraktion,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-297.html
37,298,Delegiertenversammlung,Kongresshaus Zürich,Sa 03.03.2007 10:00,"Themen: - 5. Revision der Invalidenverischerung - Parolenfassung; - Klimapolitik und Energieeffizienz: Umsetzung des Wahlvertrages 2007; - Offensive zur Jugendförderung, zum Jugendschutz und gegen die Jugendgewalt","Alexandra Perina-Werz, CVP Schweiz, Mobile 078 659 29 89",CVP/PDC,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-298.html
38,303,Oû sont les femmes?,Grand Café du Casino Lausanne,Sa 03.03.2007 11:00,Generalversammlung und Wahl-Kick-Off,"Barbara Perriard, Generalsekretärin FDP Frauen Schweiz, Tel. 031 320 35 35",FDP Frauen Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-303.html
39,306,Arbeitsbedingungen in der Schweiz,Medienzentrum Bern,Di 03.04.2007 10:00 - 11:30,"Medienkonferenz zum Thema: Europäische Umfrage über die Arbeitsbedingungen - erster Überblick aus Sicht der Schweiz (sog. ""Dublin-Studie"")","Rita Baldegger, Leiterin Kommunikation SECO, Tel. 031 323 37 90",Staatssekretariat für Wirtschaft,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-306.html
40,308,Jahresmedienkonferenz,Hauptbahnhof Zürich Zürich,Fr 25.05.2007 10:00 - 13:00,"Patrick Jecklin, Leiter Kommunikation BPV, Tel. 031 325 01 65",Bundesamt für Privatversicherungen,"Attachments   Einladung an die Medien (PDF, 515 kB)",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-308.html
41,309,Innovationsschutz: Schub oder Bremse für Wachstum und Wohlstand?,Hotel Bellevue Palace Bern,Di 13.03.2007 19:00 - 20:30,"Podiumsveranstaltung der Kantone Basel-Stadt, Basel-Landschaft, Bern, Neuenburg, Genf und Jura","Staatskanzlei Basel-Stadt, Tel. 061 267 86 54, E-Mail: info@bs.ch",Regierungsrat des Kantons Basel-Stadt,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-309.html
42,313,Auf dem Weg nach Zaragoza,Medienzentrum Bern,Mi 14.03.2007 14:00 - 15:30,Auf dem Weg nach Zaragoza: Die Schweiz im Zusammenhang mit dem America's Cup in Valencia und an der Weltausstellung Expo Zaragoza 2008,"Mirjam Matti, Kommunikation Präsenz Schweiz, Tel. 031 325 07 46",Präsenz Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-313.html
43,315,Projekt Raum- und Regionalentwicklung Gotthard (PREGO),Medienzentrum Bern,Mo 26.02.2007 10:00 - 11:45,Mediengespräch: Präsentation des PREGO-Berichtes an den Bundesrat,"Tobias Koenen, Lacher-Dumas Communications AG, Tel. direkt 044 386 40 56, mailto:prego@lacher-dumas.com",PREGO,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-315.html
44,317,"""Bundesplatz 3 - Die Ausstellung zu den Wahlen 2007""",Käfigturm Bern,Mo 19.03.2007 09:00 - 11:00,"Rundgang für die Medien; Nationalratspräsidentin Christine Egerszegi und Ständeratspräsident Peter Bieri führen durch die Ausstellung ""Bundesplatz 3""","Andreas Blaser, Parlamentsdienste, Tel. 031 322 97 20; Andreas Schilter, Polit-Forum des Bundes, Tel. 031 322 27 84",Parlamentsdienste und Polit-Forum des Bundes,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-317.html
45,318,Warum Frauen SP wählen,Medienzentrum Bern,Di 06.03.2007 14:00 - 15:00,Medienkonferenz,"Claudine Godat, Mediensprecherin SP Schweiz, Tel. 031 329 69 82",SP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-318.html
46,319,Jungparteien zur Energiezukunft der Schweiz,Käfigturm - Polit-Forum des Bundes Bern,Fr 23.02.2007 11:00,Gemeinsame Stellungnahme der Jungparteien zum Bau von Gaskraftwerken / Vorstellungen der Jungparteien über die Energiezukunft Schweiz; Junge CVP Schweiz / Jungfreisinnige Schweiz / Junge Grüne Schweiz / Junge SVP Schweiz / Jungsozialist/innen Schweiz,"Pascal Kalbermatten, Junge CVP Schweiz, Tel. 078 749 09 17",Jungparteien,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-319.html
47,320,"Prämierung Wettbewerb ""echos - Volkskultur für morgen""",Käfigturm - Polit-Forum des Bundes Bern,Di 03.04.2007 14:00 - 15:30,Medienkonferenz,"Sabina Schwarzenbach, Kommunikation Pro Helvetia, 044 267 71 39",Pro Helvetia,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-320.html
48,322,10 Jahre Museumspass,"Kunstmuseum Bern, Hodlerstrasse 12 Bern",Di 13.03.2007 14:00 - 15:00,Presseinformation,"Theo Wyler, Schweizer Museumspass, Tel. 044 389 84 56; Bei kurzfristigen Anmeldungen: Thomas Bürgisser, Schweizer Museumspass, Tel. 078 871 49 37",Schweizer Museumspass,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-322.html
49,324,IWF: Artikel-IV-Konsultation,Bernerhof Bern,Mo 05.03.2007 10:30,Medienkonferenz,"Dieter Leutwyler, Pressesprecher EFD, 031 322 60 33",Eidgenössisches Finanzdepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-324.html
50,325,Medienkonferenz der ComCom,"Hotel Widder, Rennweg 7 Zürich",Do 22.03.2007 09:30,Entbündelung der letzten Meile; Erneuerung der GSM-Konzessionen; Konsumentenschutz bei telefonischem Anbieterwechsel (Preselection),"Peter Bär, Kommissionssekretär, Tel. 031 323 52 90, peter.baer@comcom.admin.ch",Eidgenössische Kommunikationskommission ComCom,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-325.html
51,326,Medienkonferenz der ComCom,"Hôtel Lausanne Palace, Grand Chêne 7-9 Lausanne",Do 22.03.2007 14:30,(In französischer Sprache. Medienkonferenz auf Deutsch findet um 09.30 Uhr in Zürich statt.),"Peter Bär, Secrétaire de la commission, tél. 031 323 52 90, peter.baer@comcom.admin.ch",Eidgenössische Kommunikationskommission ComCom,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-326.html
52,327,Preisbekanntgabeverordnung,Medienzentrum Bern,Fr 27.04.2007 10:00 - 11:30,"Medienkonferenz Preisbekanntgabeverordnung und Präsentation der neuen Broschüre ""Wegleitung für die Praxis""","Rita Baldegger, Leiterin Kommunikation SECO, Tel. 031 323 37 90",Staatssekretariat für Wirtschaft,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-327.html
53,330,Veröffentlichung von Bd. 21 der Diplomatischen Dokumente der Schweiz (DDS),Medienzentrum Bern,Mo 26.03.2007 11:00 - 12:00,"Die DDS sind ein Gemeinschaftswerk des Bundesarchivs und des Eidg. Departements für auswärtige Angelegenheiten sowie der Schweizerischen Akademie für Geistes- und Sozialwissenschaften. In den DDS werden relevante Dokumente der jüngeren Schweizer Aussenpolitik publiziert und kommentiert. Leitung: Prof. Dr. Hans-Ulrich Jost, Universität Lausanne","Dr. Beat Immenhauser, Wissenschaftlicher Mitarbeiter SAGW, Tel. 031 313 14 40",BAR/EDA/SAGW,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-330.html
54,331,Nationales Sicherheitskonzept Schweiz für die UEFA EURO 2008,Medienzentrum Bern,Fr 30.03.2007 09:30 - 11:00,Medienkonferenz mit Herrn Bundesrat Samuel Schmid,"Christoph Neuhaus, Kommunikationsverantwortlicher, Projektorganisation Öffentliche Hand UEFA EURO 08, Tel. 031 325 88 41","Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-331.html
55,333,Wirtschaft boomt: Jetzt müssen die Löhne rauf!,Hotel Kreuz Bern,Di 20.03.2007 14:00 - 15:00,Medienkonferenz,"Hans Hartmann, Co-Leiter Abteilung Kommunikation und Kampagnen, Unia Zentralsekretariat, Tel. 031 350 23 72",Unia,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-333.html
56,335,Gesundheitskompetenz,Käfigturm - Polit-Forum des Bundes Bern,Fr 04.05.2007 10:15 - 11:30 Abgesagt,Pressekonferenz; Details folgen,"Alexander Rödiger, Merck Sharp&Dohme-Chibret AG (MSD), Tel. 044 828 71 11",Gesundheitsförderung Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-335.html
57,337,Position der CVP Schweiz zum Cassis-de-Dijon-Prinzip,Medienzentrum Bern,Mo 12.03.2007 11:30 - 12:00,Medienkonferenz,"Marianne Binder, CVP Schweiz, 079 686 01 31",CVP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-337.html
58,348,Volksabstimmung vom 17. Juni 2007,Medienzentrum Bern,Mo 19.03.2007 10:00 - 11:00,"Änderung des Bundesgesetztes über die Invalidenversicherung: 5. IV-Revision; Medienkonferenz mit Bundesrat Pascal Couchepin, Yves Rossier (Direktor des Bundesamtes für Sozialversicherungen BSV) und Alard du Bois-Reymond (Vizedirektor BSV)","Jean-Marc Crevoisier, Kommunikationschef EDI, Tel. 031 322 80 16",Eidgenössisches Departement des Innern,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-348.html
59,349,Präsentation des Rüstungsprogramms 2007,Waffenplatz Thun Thun,Di 27.03.2007 10:00 - 12:30,"Jean-Blaise Defago, Chef Kommunikation VBS, Tel. 031 324 50 82","Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport","Attachments   Einladung an die Medien (PDF, 69 kB)",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-349.html
60,350,Medienkonferenz,Medienzentrum Bern,Di 29.05.2007 10:15 - 11:15,"Landnutzung und biologische Vielfalt in den Alpen: Fakten, Perspektiven, Empfehlungen (NFP 48)","Monika Risse, Presse- und Informationsdienst SNF, Tel. 031 308 23 74, mailto:mrisse-aebi@snf.ch",Schweizerischer Nationalfonds (SNF),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-350.html
61,353,SBB Bilanz 2006,"Swissôtel Zürich, Am Marktplatz Oerlikon; Schulstrasse 44 8050 Zürich",Mi 04.04.2007 09:30,"Bilanzmedienkonferenz mit: Thierry Lalive d'Epinay, Präsident des Verwaltungsrates; Andreas Meyer, CEO; Claude Alain Dulex, Leiter Finanzen","Danni Härry, Pressechef SBB, Tel. 051 220 41 11",Schweizerische Bundesbahnen SBB,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-353.html
62,355,Mediengespräch,"Bundesamt für Kommunikation, Zukunftstrasse 44; Office fédéral de la communication, Rue de l'Avenir 44 2501 Biel-Bienne",Mi 11.07.2007,Neuordnung der privaten Radio- und TV-Landschaft: Versorgungsgebiete und Leistungsaufträge; Wie weiter bei der Öffnung der letzten Meile? Stand des Telekommunikationsmarktes Schweiz,"Pressestelle BAKOM, Tel. 032 327 55 50, mailto:media@bakom.admin.ch; Service de presse OFCOM, tél. 032 327 55 50, mailto:media@bakom.admin.ch",Bundesamt für Kommunikation,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-355.html
63,360,Einführungskurs in die Raumplanung (3. Teil),Zofingen AG,Mi 01.11.2006,"3-tägiger Kurs (jeweils 8., 15. und 22.3.2007). Dieser Kurs ist an Personen gerichtet, die mit Raumplanungsfragen zu tun haben, mit ihrem Tätigkeitsgebiet aber noch wenig vertraut sind. Geeignet ist er auch für neu gewählte Gemeinderatsmitglieder oder Mitglieder von Bau- und Planungskommissionen.","Schweizerische Vereinigung für Landesplanung VLP-ASPAN, Seilerstrasse 22, 3011 Bern, Tel. +41 (0)31 380 76 76, Fax +41 (0)31 380 76 77, E-Mail: tagung@vlp-aspan.ch",Schweizerische Vereinigung für Landesplanung VLP-ASPAN,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-360.html
64,361,Revalorisation des centres des localités,Delémont,Mi 21.03.2007,"Lors de cette journée d'étude, la revalorisation des centres des localités et des quartiers doit faire l'objet d'une approche globale. Il sera démontré aux communes qu'elles n'arriveront à des résultats satisfaisants que si elles ont recours à un concept général dans lequel est intégré l'aspect planificateur, architectonique, économique, mais aussi celui touchant à la société et à la protection des sites construits. Avant d'agir, une commune doit avant tout réfléchir à ce qu'elle veut dans son centre et à quoi devra ressembler ce dernier à l'avenir.","Association suisse pour l'aménagement national VLP-ASPAN, Seilerstrasse 22, 3011 Berne, tél. +41 (0)31 380 76 76, fax +41 (0)31 380 76 77, E-mail: journee@vlp-aspan.ch",Association suisse pour l'aménagement national VLP-ASPAN,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-361.html
65,362,Workshop «Der Sektor Wald in der Regionalpolitik - Optionen für eine nachhaltige Entwicklung im Alpenraum»,Brig,Do 29.03.2007 08:45 - 16:30,"Der Workshop findet im Rahmen des CIPRA-Projekts «Zukunft in den Alpen» gemeinsam mit «Fortbildung Wald und Landschaft» statt. Die Veranstaltung will Wissen, Erfahrungen und Instrumente für die optimale und wirkungsvolle Einbringung von Wald und Holz in die regionalen Kreisläufe vermitteln.","CIPRA, Fortbildung Wald und Landschaft",Links   www.fowala.ch,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-362.html
66,364,Einführungskurs in die Verkehrsplanung,Beatenplatz 2 Zürich,Do 29.03.2007 09:15 - 16:45,Die eintägige Einführung in die Verkehrsplanung wird als Ergänzung zu den Einführungskursen in die Raumplanung konzipiert und in Zusammenarbeit mit der Vereinigung Schweizerischer Verkehrsingenieure SVI durchgeführt. Anmeldeschluss: 8. März 2007,"Tel. +41 (0)31 380 76 76, Fax +41 (0)31 380 76 77; tagung@vlp-aspan.ch",Schweizerische Vereinigung für Landesplanung VLP-ASPAN,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-364.html
67,367,"Sauberkeit, Sicherheit und Sozialraum-Qualität",Luzern,Do 12.04.2007 09:00,"Die dreitägige Veranstaltung stellt die gesellschaftlichen Probleme des öffentlichen Raums in einen Gesamtzusammenhang. Nahmhafte ExpertInnen aus Wirtschaft, Politik und Wissenschaft führen Wege auf, wie öffentliche Dienste und die Wirtschaft sektorübergreifend planen und Kosten sparend zusammenarbeiten können. Es werden praxisbewährte und neue Kooperationsansätze (wie z.B. PPP), Instrumente und Normen vorgestellt und diskutiert.","Tel. +41 (0)62 822 40 04, info@future-4-commons.ch",Verein Future for the Commons VFC,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-367.html
68,370,Einführungskurs in die Raumplanung (3. Teil),Zofingen,Do 22.03.2007,"Dreitägiger Kurs (jeweils 8., 15. und 22.3.2007). Dieser Kurs ist an Personen gerichtet, die mit Raumplanungsfragen zu tun haben, mit ihrem Tätigkeitsgebiet aber noch wenig vertraut sind. Geeignet ist er auch für neu gewählte Gemeinderatsmitglieder oder Mitglieder von Bau- und Planungskommissionen.","Tel. +41 (0)31 380 76 76, Fax +41 (0)31 380 76 77; tagung@vlp-aspan.ch",Schweizerische Vereinigung für Landesplanung VLP-ASPAN,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-370.html
69,374,Landscape Development in Mountain Regions (18. - 21.04.2007),Engelberg,Mi 18.04.2007 12:45,"AlpenForum 2007; Das Hauptziel des AlpenForums 2007 besteht darin, zu einem gemeinsamen Verständnis der Dynamik von Gebirgslandschaften zu gelangen und umsetzbare Ideen zu entwickeln.","Tel. +41 (0) 318 70 18, Fax +41 (0)31 312 16 78; iscar@scnat.ch",Interakademische Kommission Alpenforschung ICAS,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-374.html
