,0,1,2,3,4,5,6,7
0,4147,"""Rio+20 und die Schweiz - Hand bieten für zukunftsfähige Lösungen""",Alliance Sud; Monbijoustrasse 31; 4. Stock / 4ème étage 3011 Bern,Do 07.06.2012 13:15,"Mediengespräch; Die Vorbereitungen zum Uno-Gipfel Rio+20 für nachhaltige Entwicklung sind von einem scharfen Nord-Süd-Konflikt geprägt, an dem die Schweiz direkt beteiligt ist. Alliance Sud, die Mitglied der Schweizer Delegation ist, erläutert die Ausgangslage und stellt ein Manifest mit Forderungen an die Schweizer Delegation in Rio vor.","Pepo Hofstetter; Medienbeauftragter Alliance Sud/Responsable pour le média chez Alliance Sud; 031 390 93 34, pepo.hofstetter@alliancesud.ch",Alliance Sud,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-4147.html
1,4149,Resultate der gemeinsamen Gespräche von CVP und BDP,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Do 31.05.2012 11:00,"Medienkonferenz; Mit: Christophe Darbellay, Nationalrat (VS) Parteipräsident der CVP Schweiz; Martin Landolt, Nationalrat (GL) und Parteipräsident der BDP Schweiz; Konrad Graber, Ständerat CVP, LU; Werner Luginbühl, Ständerat BDP, BE; Gerhard Pfister, Nationalrat CVP, ZG",Marianne Binder; Kommunikationschefin CVP Schweiz/Resp. de la communication du PDC suisse; Mobil: 079 686 01 31,CVP Schweiz / BDP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-4149.html
2,4150,"Abschluss Nationales Forschungsprogramm 58  „Religionsgemeinschaften, Staat und Gesellschaft“","Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Di 03.07.2012 09:15 - 10:15,Medienkonferenz,Schweizerischer Nationalfonds; Presse- und Informationsdienst; Kathrin Sterchi; Wildhainweg 3; 3001 Bern; Tel. +41 (31) 308 23 87,Schweizerischer Nationalfonds SNF,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-4150.html
3,4152,Bundesratssitzung,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences; Centro media di Palazzo federale, sala delle conferenze Bern",Mi 14.11.2012 16:00,Medienkonferenz des Bundesrates; Die Medienkonferenz wird live übertragen. Nähere Angaben zu Themen und Teilnehmerinnen und Teilnehmern werden kurz vor Beginn auf www.tv.admin.ch aufgeschaltet.,Kein Kontakt,Der Bundesrat,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-4152.html
4,4153,Bundesratssitzung,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences; Centro media di Palazzo federale, sala delle conferenze Bern",Mi 21.11.2012 15:00,Medienkonferenz des Bundesrates; Die Medienkonferenz wird live übertragen. Nähere Angaben zu Themen und Teilnehmerinnen und Teilnehmern werden kurz vor Beginn auf www.tv.admin.ch aufgeschaltet.,Kein Kontakt,Der Bundesrat,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-4153.html
5,4154,Bundesratssitzung,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences; Centro media di Palazzo federale, sala delle conferenze Bern",Fr 30.11.2012 14:00,Medienkonferenz des Bundesrates; Die Medienkonferenz wird live übertragen. Nähere Angaben zu Themen und Teilnehmerinnen und Teilnehmern werden kurz vor Beginn auf www.tv.admin.ch aufgeschaltet.,Kein Kontakt,Der Bundesrat,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-4154.html
6,4155,Beginn der Session,Parlamentsgebäude; Palais du Parlement Bern,Mo 26.11.2012 14:30,Wintersession der Eidgenössischen Räte (bis 14. Dezember 2012),Kein Kontakt,Bundesversammlung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-4155.html
7,4156,Bundesratssitzung,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences; Centro media di Palazzo federale, sala delle conferenze Bern",Fr 15.06.2012 13:30,Medienkonferenz des Bundesrates; Die Medienkonferenz wird live übertragen. Nähere Angaben zu Themen und Teilnehmerinnen und Teilnehmern werden kurz vor Beginn auf www.tv.admin.ch aufgeschaltet.,Kein Kontakt,Der Bundesrat,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-4156.html
8,4157,Stärkung des Wirtschaftsstandortes und Werkplatzes Schweiz,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Di 12.06.2012 10:30 - 11:30,Medienkonferenz; Teilnehmer: - NR Fulvio Pelli (FDP); - NR Peter Spuhler (SVP); - NR Daniel Fässler (CVP); - NR Urs Gasche (BDP); - NR Thomas Mayer (glp),"Noé Blancpain (Kommunikationschef), 078 748 61 63, blancpain@fdp.ch; Philippe Miauton, Pressesprecher, 079 277 68 41, miauton@plr.ch","Parlamentarische Gruppe ""Steuerstandort Schweiz stärken""",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-4157.html
9,4158,Delegiertenversammlung,Centre Sportif Scolaire St-Maurice (VS),Sa 23.06.2012 10:00,-,"Blancpain (Kommunikationschef), 078 748 61 63, blancpain@fdp.ch; Philippe Miauton, Pressesprecher, 079 277 68 41, miauton@plr.ch",FDP.Die Liberalen,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-4158.html
